model_id,cell_line_name,lineage,primary_disease,gene_effect
ACH-002669,KP-363T,Bowel,Colorectal Adenocarcinoma,-0.01358247509500009
ACH-002672,MAPAC-HS-77,Pancreas,Pancreatic Adenocarcinoma,0.03347346625632237
ACH-002677,U-2946,Lymphoid,Mature B-Cell Neoplasms,0.01775608685553984
ACH-002678,WILL-1,Lymphoid,Mature B-Cell Neoplasms,0.010363987318739724
ACH-002680,170-MG-BA,CNS/Brain,Diffuse Glioma,0.11635924815336199
ACH-002681,538-MG-BA,CNS/Brain,Diffuse Glioma,-0.047763137054654806
ACH-002687,WM3772F,Eye,Ocular Melanoma,0.27120682669008367
ACH-002690,OS526,Bone,Osteosarcoma,-0.1163145912502013
ACH-002693,S462,Peripheral Nervous System,Nerve Sheath Tumor,0.17482256568039198
ACH-002705,IS076P,Esophagus/Stomach,Esophagogastric Adenocarcinoma,-0.008690676387474146
ACH-002706,IS076A,Esophagus/Stomach,Esophagogastric Adenocarcinoma,0.016106440728810744
ACH-002708,DL-221,Soft Tissue,Liposarcoma,-0.1343028801390982
ACH-002709,CMS,Myeloid,Acute Myeloid Leukemia,-0.10957909431365861
ACH-002710,MPNST-724,Peripheral Nervous System,Nerve Sheath Tumor,-0.041405412024375976
ACH-002711,UM-HACC-2A,Head and Neck,Salivary Carcinoma,-0.11447389516426607
ACH-002778,NCC-OS1-X2-C1,Bone,Osteosarcoma,-0.09449946992185003
ACH-002780,NCC-ES1-C1,Bone,Ewing Sarcoma,0.18622245431912257
ACH-002782,NCC-UPS1-C1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,0.019909409604807356
ACH-002784,NCC-UPS2-C1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,0.014051412300922165
ACH-002785,NCC-LMS1-C1,Soft Tissue,Leiomyosarcoma,-0.13864408439085882
ACH-002792,NCC-CCS1B-C1,Soft Tissue,Clear Cell Sarcoma,-0.06399787535783649
ACH-002799,NCC-MPNST1-C1,Peripheral Nervous System,Nerve Sheath Tumor,0.054897670982443955
ACH-002800,NCC-MPNST2-C1,Peripheral Nervous System,Nerve Sheath Tumor,0.05829900114655989
ACH-002801,NCC-MPNST3-C1,Peripheral Nervous System,Nerve Sheath Tumor,-0.040189248603374216
ACH-002806,TB096,CNS/Brain,Diffuse Glioma,-0.0010701391306348201
ACH-002834,OS384,Bone,Osteosarcoma,0.0910942466650011
ACH-002847,YUHOIN,Skin,Melanoma,-0.04954155242929384
ACH-002922,SK-N-MM,Peripheral Nervous System,Neuroblastoma,-0.03503796149514857
ACH-002925,UPMM3,Eye,Ocular Melanoma,-0.026897348566668727
ACH-002926,UPMD1,Eye,Ocular Melanoma,0.05998988965610956
ACH-002928,MM100511,Skin,Melanoma,-0.0619833277607358
ACH-003012,A549_CRAF_KD,Lung,Non-Small Cell Lung Cancer,0.15504757334184013
ACH-003177,NRH-UPS1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,-0.029852570957506645
ACH-003180,NRH-UPS2,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,-0.08408836593418026
ACH-003184,NRH-LMS2,Soft Tissue,Leiomyosarcoma,-0.27691540472436155
ACH-003191,NRH-GCT2,Bone,Giant Cell Tumor of Bone,-0.06917805548708378
